"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1913810178837029188","Sun Apr 20 04:21:18 +0000 2025","0","SUKA BANGET SAMA RAMBUT+ OUTFIT SUNGJAKE ENHYPEN VAMPS UP COACHELLA #ENHYPENinCoachella #ENCHELLA2025 #COACHELLA","1913810178837029188","","","in","","0","0","0","https://x.com/undefined/status/1913810178837029188","1351357683035566081",
"1913807861333020721","Sun Apr 20 04:12:05 +0000 2025","0","DRUNK DAZED LAGUNYA KYK LAGU DUGEM KOCAKK #ENCHELLA2025","1913807861333020721","","","in","","0","0","0","https://x.com/undefined/status/1913807861333020721","1278996602061910016",
"1913807464266350706","Sun Apr 20 04:10:30 +0000 2025","0","OTOT NYA SUNGHOON YAALLAH ITU BISA MENAMPUNG BEBAN HIDUP SKRIPSI GUEE #ENCHELLA2025","1913807464266350706","","","in","","0","0","0","https://x.com/undefined/status/1913807464266350706","1276056202087067648",
"1913807412534112645","Sun Apr 20 04:10:18 +0000 2025","0","SSUNGHOON JAKET LU KMN HEH #ENCHELLA2025","1913807412534112645","","","in","","0","0","0","https://x.com/undefined/status/1913807412534112645","1278996602061910016",
"1913807197529915817","Sun Apr 20 04:09:27 +0000 2025","0","Heeseung gila bangettttt ENHYPEN VAMPS UP COACHELLA #ENHYPENinCoachella #ENCHELLA2025 #COACHELLA","1913807197529915817","","","in","","0","0","0","https://x.com/undefined/status/1913807197529915817","1495047088711045121",
"1913807154760290312","Sun Apr 20 04:09:17 +0000 2025","1","DITINGGAL BNTR KOK ELU JD BGINI HOON ENHYPEN VAMPS UP COACHELLA #ENHYPENinCoachella #ENCHELLA2025 #COACHELLA https://t.co/rqBD2ZRqb0","1913807154760290312","https://pbs.twimg.com/media/Go81cJkasAAReXN.jpg","","in","","0","0","0","https://x.com/undefined/status/1913807154760290312","1086816072496340992",
"1913807102008779157","Sun Apr 20 04:09:04 +0000 2025","0","ril merah juga keringetnya heeseung #enchella2025 https://t.co/O2g1EmFB9w","1913807102008779157","https://pbs.twimg.com/media/Go81aVTaUAA_9tK.jpg","","in","","0","0","0","https://x.com/undefined/status/1913807102008779157","1018695089537802240",
"1913806971683344859","Sun Apr 20 04:08:33 +0000 2025","0","PARK SUNGHOON LU BENER BENER YA ENHYPEN VAMPS UP COACHELLA #ENHYPENinCoachella #ENCHELLA2025 #COACHELLA","1913806971683344859","","","in","","0","0","0","https://x.com/undefined/status/1913806971683344859","1771875500576964608",
"1913806866175705261","Sun Apr 20 04:08:08 +0000 2025","0","Keringetnya heeseung merah... pake nail polish jugaa dammn ENHYPEN VAMPS UP COACHELLA #ENHYPENinCoachella #ENCHELLA2025 #COACHELLA","1913806866175705261","","","in","","0","0","0","https://x.com/undefined/status/1913806866175705261","1481588678736551936",
"1913806773812908057","Sun Apr 20 04:07:46 +0000 2025","0","selalu keren guys️‍️‍ #ENCHELLA2025","1913806773812908057","","","in","","0","0","0","https://x.com/undefined/status/1913806773812908057","1272134988750700545",
"1913806667604787457","Sun Apr 20 04:07:21 +0000 2025","0","aduhh sunghoooon sopankahhh lepas jakettt pas moonstruck #ENHYPENinCoachella #ENCHELLA2025 #COACHELLA","1913806667604787457","","","in","","0","0","0","https://x.com/undefined/status/1913806667604787457","1359173859824422921",
"1913806560876454364","Sun Apr 20 04:06:55 +0000 2025","0","Ihh harus denger nih Jay ENHYPEN VAMPS UP COACHELLA #ENHYPENinCoachella #ENCHELLA2025 #COACHELLA","1913806560876454364","","","in","","0","0","0","https://x.com/undefined/status/1913806560876454364","1308626164928270337",
"1913806441301131400","Sun Apr 20 04:06:27 +0000 2025","0","GW UDAH GA BERNYAWA ABIS DAYDREAM INI TOLONG #ENCHELLA2025","1913806441301131400","","","in","","0","0","0","https://x.com/undefined/status/1913806441301131400","1018695089537802240",
